City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kodiak,57.79,-152.4072,5.73,93,100,0.0,US,1702264842
83,hithadhoo,-0.6,73.0833,27.84,76,94,1.65,MV,1702264842
84,pisco,-13.7,-76.2167,20.03,77,0,5.66,PE,1702264842
85,kolar,13.1333,78.1333,21.42,83,97,2.92,IN,1702264842
86,krasnozerskoye,53.9828,79.2374,-29.44,95,64,3.14,RU,1702264842
87,saipan,15.1355,145.701,30.39,70,20,5.66,MP,1702264842
88,itoman,26.1247,127.6694,26.21,73,75,5.66,JP,1702264842
89,vozhega,60.4725,40.2213,-13.65,93,100,4.21,RU,1702264843
90,port elizabeth,-33.918,25.5701,14.62,92,0,1.54,ZA,1702264843
91,mogocha,53.7333,119.7667,-27.28,72,4,0.81,RU,1702264843
92,fort st. john,56.2499,-120.8529,-6.06,79,20,2.57,CA,1702264843
93,jinchang,38.4953,102.1739,1.59,44,100,3.36,CN,1702264843
94,karoi,-16.8099,29.6925,20.63,62,95,0.78,ZW,1702264843
95,lospalos,-8.5186,127.0025,30.97,55,96,0.48,TL,1702264843
96,east london,-33.0153,27.9116,17.52,94,75,1.03,ZA,1702264843
97,walvis bay,-22.9575,14.5053,16.72,87,70,0.77,NA,1702264843
98,mariehamn,60.0973,19.9348,-0.08,86,100,4.63,AX,1702264844
99,ha'il,27.5219,41.6907,12.01,50,0,3.09,SA,1702264844
100,talnakh,69.4865,88.3972,-27.11,98,100,4.59,RU,1702264844
101,invercargill,-46.4,168.35,16.5,47,64,7.33,NZ,1702264844
102,taoudenni,22.6783,-3.9836,16.95,31,100,7.26,ML,1702264844
103,dudinka,69.4058,86.1778,-26.88,97,100,5.36,RU,1702264844
104,padang,-0.9492,100.3543,30.03,72,20,1.71,ID,1702264844
105,la'ie,21.6477,-157.9253,27.98,82,21,2.68,US,1702264844
106,daru,-9.0763,143.2092,27.86,66,100,3.98,PG,1702264844
107,samfya,-11.3649,29.5565,20.15,87,100,1.24,ZM,1702264845
108,san antonio de pale,-1.4014,5.6325,27.37,78,98,6.27,GQ,1702264845
109,cabo san lucas,22.8909,-109.9124,24.86,65,0,3.09,MX,1702264738
110,puerto baquerizo moreno,-0.9,-89.6,23.77,88,17,4.23,EC,1702264845
111,st. john's,47.5649,-52.7093,0.38,94,75,4.12,CA,1702264653
112,port lincoln,-34.7333,135.8667,17.71,88,100,6.07,AU,1702264845
113,sola,-13.8833,167.55,27.37,78,100,2.06,VU,1702264845
114,ust-nera,64.5667,143.2,-21.06,99,100,4.04,RU,1702264845
115,berezovskiy,55.6,86.2,-31.66,92,27,3.51,RU,1702264846
116,plain city,41.298,-112.0861,2.72,70,100,0.45,US,1702264846
117,orapa,-21.2833,25.3667,20.06,79,100,3.6,BW,1702264846
118,tarko-sale,64.9225,77.785,-32.64,97,98,3.63,RU,1702264846
119,codrington,-38.2667,141.9667,16.7,85,100,8.36,AU,1702264846
120,axim,4.8699,-2.2405,26.17,84,9,1.95,GH,1702264846
121,hermanus,-34.4187,19.2345,15.53,82,4,3.55,ZA,1702264846
122,cha-am,12.8,99.9667,31.04,62,28,2.06,TH,1702264846
123,kapuskasing,49.4169,-82.4331,-6.95,79,100,2.57,CA,1702264846
